,Value,Count,percent
0,😂,263699,7.09
1,❤️,258061,6.94
2,flag,153885,4.14
3,👍,152556,4.1
4,🤔,120141,3.23
5,😊,113732,3.06
6,😉,102632,2.76
7,😅,80703,2.17
8,😍,77180,2.07
9,😁,76597,2.06
10,🙏,70223,1.89
11,🤣,67614,1.82
12,😎,60569,1.63
13,🙄,58279,1.57
14,🤷‍♂,56770,1.53
15,😭,49646,1.33
16,👇,48255,1.3
17,👏,46231,1.24
18,😳,45992,1.24
19,😀,45260,1.22
20,💪,45168,1.21
21,🥰,42294,1.14
22,😄,39520,1.06
23,🙂,39298,1.06
24,⚽,38655,1.04
25,👌,36717,0.99
26,😬,35822,0.96
27,🙈,34050,0.92
28,💙,32105,0.86
29,😃,31740,0.85
30,😡,31683,0.85
31,🥺,31587,0.85
32,🔥,28674,0.77
33,😘,27444,0.74
34,🤷‍♀,27265,0.73
35,😱,26812,0.72
36,🤩,26611,0.72
37,😆,26154,0.7
38,😔,23993,0.64
39,🤗,23708,0.64
40,🥳,23191,0.62
41,☀️,23163,0.62
42,🤪,23094,0.62
43,☺️,21867,0.59
44,😢,21854,0.59
45,🙌,21793,0.59
46,🤬,21751,0.58
47,🙃,21288,0.57
48,😏,20513,0.55
49,✅,20352,0.55
50,💚,20200,0.54
51,🤡,20100,0.54
52,💛,19642,0.53
53,♥️,19377,0.52
54,💕,18441,0.5
55,😜,18396,0.49
56,🤮,18197,0.49
57,👉,17453,0.47
58,🧐,17189,0.46
59,💔,17007,0.46
60,😇,16922,0.45
61,👀,16329,0.44
62,🌹,16273,0.44
63,👊,15795,0.42
64,🤦‍♂,14521,0.39
65,💰,14496,0.39
66,🤯,14382,0.39
67,✨,14077,0.38
68,🥴,13367,0.36
69,😐,13088,0.35
70,🔴,12960,0.35
71,🤓,12368,0.33
72,🎉,12200,0.33
73,🕌,12109,0.33
74,✌️,11849,0.32
75,👎,11610,0.31
76,😋,11521,0.31
77,🤦‍♀,11221,0.3
78,🤢,11186,0.3
79,🖤,10488,0.28
80,💥,10254,0.28
81,🏆,10192,0.27
82,🤭,10114,0.27
83,😌,10113,0.27
84,✊,9857,0.26
85,😩,9779,0.26
86,😷,9380,0.25
87,🤨,9335,0.25
88,‼️,9230,0.25
89,💀,9076,0.24
90,💖,9008,0.24
91,💜,8643,0.23
92,😤,8638,0.23
93,😥,8634,0.23
94,➡️,8301,0.22
95,⬇️,8246,0.22
96,⭐,7950,0.21
97,🔵,7872,0.21
98,🌟,7783,0.21
99,🔁,7639,0.21
100,🌞,7420,0.2
101,😒,7395,0.2
102,😑,7191,0.19
103,⚪,7168,0.19
104,😕,7145,0.19
105,🌸,7105,0.19
106,✔️,7056,0.19
107,🤞,6685,0.18
108,❗,6584,0.18
109,🤘,6297,0.17
110,😠,6280,0.17
111,🥂,6206,0.17
112,🎶,6067,0.16
113,😞,5902,0.16
114,💞,5896,0.16
115,☁️,5835,0.16
116,🍌,5711,0.15
117,🍀,5636,0.15
118,💯,5571,0.15
119,📺,5542,0.15
120,☹,5462,0.15
121,😫,5407,0.15
122,🤑,5381,0.14
123,🔸,5282,0.14
124,😈,5282,0.14
125,🍾,5219,0.14
126,☕,5091,0.14
127,🍻,5056,0.14
128,🤥,5009,0.13
129,🧡,4993,0.13
130,🤍,4983,0.13
131,❣,4934,0.13
132,😴,4871,0.13
133,™️,4793,0.13
134,🤠,4763,0.13
135,😖,4748,0.13
136,🥇,4720,0.13
137,😮,4624,0.12
138,😝,4620,0.12
139,💸,4600,0.12
140,🌍,4594,0.12
141,🥵,4593,0.12
142,👋,4444,0.12
143,☝️,4398,0.12
144,❌,4334,0.12
145,😪,4322,0.12
146,1️⃣,4287,0.12
147,😲,4155,0.11
148,🤝,4134,0.11
149,2️⃣,4062,0.11
